app	total	age_1	age_2	age_3	age_4	age_5	age_6	gini	gain
魔音	11963	161.0	4917.0	2677.0	2049.0	1544.0	610.0	0.7964246944956003	1.627937558713254
龙之谷2	42187	731.0	12820.0	12652.0	10548.0	4626.0	795.0	0.7964048630885926	1.627856764834086
58同城	57615450	545306.0	12645763.0	11479178.0	12685165.0	13045890.0	7125953.0	0.796368037170481	1.627670265214458
apk编辑器	11729	161.0	5141.0	2313.0	1744.0	1603.0	754.0	0.7964228662830083	1.6279361390879086
com.samsung.festival.chinadefault.theme51207914.mms	47844	21.0	3981.0	9614.0	12059.0	14735.0	7393.0	0.7964131316332581	1.6278951411606803
fm收音机广播	29900	36.0	2639.0	4857.0	7488.0	9432.0	5374.0	0.7964199044879177	1.6279173275368375
k聊	12453	443.0	5935.0	2582.0	1909.0	1178.0	401.0	0.7964151452281291	1.6279119262568131
led字幕屏	18097	438.0	8435.0	4280.0	2783.0	1710.0	447.0	0.7964067155962711	1.627890650728475
lynkco	37792	30.0	6700.0	11158.0	9780.0	7549.0	2547.0	0.7964250679150178	1.6279298170214844
miliveassistant	10734	48.0	3879.0	2844.0	2145.0	1408.0	395.0	0.7964281976599576	1.6279420146045067
ocean	31214	51.0	10336.0	8745.0	5850.0	4329.0	1860.0	0.7964187576915465	1.6279169473966806
officemobile	89200	148.0	17978.0	21768.0	20458.0	20205.0	8535.0	0.7964307422052633	1.6279415334890324
oppo商城	6610364	111908.0	1701828.0	1343624.0	1455299.0	1395544.0	597100.0	0.7960790018414218	1.626593049708775
panecal	19782	37.0	3455.0	3405.0	4619.0	4967.0	3266.0	0.7964339801699245	1.6279567038620397
psapp	10660	52.0	3852.0	3080.0	1979.0	1356.0	334.0	0.7964271129479067	1.6279387285954197
wechat	451283	4663.0	180246.0	116422.0	77269.0	50731.0	21530.0	0.7959927943904582	1.6268846356367777
zine	43265	193.0	16413.0	12664.0	7146.0	4689.0	2125.0	0.796393726685003	1.627857187776058
三国战记	17106	24.0	3065.0	4962.0	5847.0	2795.0	409.0	0.796424426728872	1.627926204862269
上海社保卡	34828	12.0	1991.0	5499.0	8632.0	13963.0	4682.0	0.7963999559794036	1.627870262221602
世纪佳缘	524340	822.0	48497.0	101682.0	149182.0	149804.0	73323.0	0.796213675709585	1.6273301960830542
中华万年历-日历黄历	12721	2.0	803.0	2544.0	4011.0	3802.0	1555.0	0.796427255695218	1.627938138727964
丰声	105219	81.0	17931.0	29745.0	33131.0	21590.0	2727.0	0.7963841656938753	1.6277736889372105
之江汇	42587	690.0	1985.0	2412.0	9189.0	22929.0	5355.0	0.7963273874287057	1.6277224467502642
乐聊	26386	442.0	8624.0	6054.0	5252.0	4283.0	1716.0	0.7964266175516463	1.627938661916196
二手车之家	560726	737.0	76515.0	139723.0	166648.0	136767.0	39862.0	0.7962544473144207	1.6274181257900289
云南招聘网	81351	169.0	30686.0	27014.0	13158.0	7568.0	2743.0	0.7963356329724015	1.6276941883785616
云南移动和生活	344499	3876.0	113847.0	76039.0	60996.0	61252.0	28317.0	0.7963255473750062	1.627706920956029
亲亲小保	14585	1.0	705.0	2510.0	4183.0	4817.0	2352.0	0.7964239980853582	1.6279270882199681
付临门云商宝	123385	43.0	7712.0	24190.0	38877.0	39684.0	12811.0	0.7963433124603175	1.6276984544622297
优惠购	18941	36.0	5877.0	4544.0	4257.0	3156.0	1059.0	0.7964299628879798	1.6279449066081482
会计头条	23950	19.0	3010.0	5265.0	6015.0	6272.0	3346.0	0.7964308878449081	1.6279478744552136
